,Country,AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
2354,37,50,0,1,0,25,1,4,1,50,0
2355,166,22,0,0,0,22,1,0,0,15,0
2356,70,31,0,1,0,27,1,0,0,31,0
2357,53,240,4,15,1,0,0,24,2,240,4
2358,164,129,2,1,0,24,1,0,0,129,2
2359,108,48,0,1,0,48,3,3,1,39,0
2360,168,27,0,1,0,7,0,0,0,27,0
2362,23,83,1,2,1,2,0,14,2,83,1
2363,164,55,1,1,0,15,0,17,2,55,1
2364,23,79,1,2,1,5,0,13,2,79,1
2365,155,30,0,1,0,30,1,2,1,25,0
2366,122,84,1,0,0,25,1,0,0,84,1
2367,108,37,0,1,0,37,2,2,1,20,0
2368,164,66,1,2,1,9,0,20,2,66,1
2369,108,41,0,2,1,37,2,8,2,41,0
2370,72,70,1,2,1,3,0,7,2,70,1
2371,168,85,1,2,1,18,0,7,2,85,1
2372,71,142,2,4,1,4,0,16,2,142,2
2373,71,54,1,1,0,13,0,2,1,54,1
2374,71,112,2,3,1,6,0,12,2,112,2
2375,71,83,1,2,1,11,0,7,2,83,1
2376,91,90,1,1,0,45,3,0,0,90,1
2377,37,65,1,1,0,21,0,4,1,65,1
2379,130,179,3,1,0,44,3,0,0,179,3
2380,133,52,1,1,0,30,1,3,1,52,1
2381,37,65,1,1,0,23,1,4,1,65,1
2382,133,52,1,1,0,29,1,3,1,52,1
2383,133,69,1,1,0,26,1,3,1,69,1
2384,133,53,1,1,0,31,1,3,1,53,1
2385,93,66,1,1,0,37,2,2,1,66,1
2386,133,35,0,0,0,33,2,1,0,35,0
2387,164,55,1,1,0,11,0,11,2,55,1
2388,122,126,2,1,0,34,2,0,0,126,2
2389,58,64,1,1,0,39,2,1,0,64,1
2390,44,158,3,1,0,30,1,1,0,158,3
2391,108,36,0,1,0,36,2,3,1,17,0
2392,91,151,3,1,0,80,3,0,0,151,3
2393,123,32,0,1,0,32,2,0,0,20,0
2394,64,47,0,1,0,47,3,1,0,43,0
2395,122,53,1,0,0,23,1,0,0,53,1
2396,45,35,0,0,0,14,0,0,0,35,0
2397,122,52,1,0,0,23,1,0,0,52,1
2398,6,67,1,1,0,37,2,1,0,67,1
2400,105,32,0,0,0,26,1,0,0,32,0
2401,68,35,0,0,0,35,2,1,0,22,0
2402,123,31,0,1,0,31,1,1,0,23,0
2403,123,34,0,1,0,25,1,2,1,34,0
2404,7,29,0,1,0,29,1,0,0,21,0
2405,0,36,0,0,0,36,2,0,0,31,0
2406,108,45,0,1,0,45,3,2,1,34,0
2407,12,155,3,2,1,155,3,1,0,124,2
2408,71,39,0,1,0,9,0,1,0,39,0
2409,122,177,3,4,1,177,3,1,0,156,3
2410,133,78,1,1,0,28,1,3,1,78,1
2411,133,94,1,1,0,29,1,2,1,94,1
2412,164,54,1,1,0,13,0,12,2,54,1
2413,68,30,0,1,0,30,1,3,1,28,0
2414,164,70,1,2,1,8,0,23,2,70,1
2415,71,32,0,1,0,2,0,0,0,32,0
2416,46,57,1,1,0,14,0,4,1,57,1
2417,105,50,0,1,0,28,1,0,0,50,0
2418,164,63,1,2,1,16,0,21,2,63,1
2419,164,34,0,1,0,24,1,8,2,34,0
2420,71,30,0,1,0,17,0,1,0,30,0
2421,164,40,0,1,0,22,1,9,2,40,0
2422,71,23,0,0,0,12,0,0,0,23,0
2423,123,46,0,1,0,38,2,1,0,46,0
2424,46,54,1,1,0,23,1,1,0,54,1
2425,123,32,0,1,0,32,2,0,0,15,0
2426,122,39,0,0,0,22,1,0,0,39,0
2427,164,51,1,1,0,25,1,12,2,51,1
2429,133,47,0,1,0,34,2,2,1,47,0
2430,18,118,2,4,1,26,1,2,1,118,2
2431,64,61,1,1,0,61,3,1,0,41,0
2432,129,35,0,0,0,33,2,1,0,35,0
2433,123,60,1,1,0,35,2,0,0,60,1
2434,140,88,1,2,1,22,1,9,2,88,1
2435,87,71,1,1,0,34,2,2,1,71,1
2436,164,122,2,4,1,14,0,38,2,122,2
2437,133,38,0,0,0,34,2,1,0,38,0
2438,164,86,1,1,0,24,1,4,1,86,1
2439,123,38,0,1,0,38,2,0,0,30,0
2440,84,37,0,1,0,30,1,3,1,37,0
2441,84,42,0,1,0,32,2,3,1,42,0
2442,133,36,0,0,0,34,2,1,0,36,0
2443,68,41,0,1,0,30,1,3,1,41,0
2444,15,165,3,6,1,15,0,6,2,165,3
2445,84,44,0,1,0,27,1,4,1,44,0
2446,84,39,0,1,0,30,1,3,1,39,0
2447,109,50,0,1,0,32,2,0,0,50,0
2448,164,44,0,1,0,44,3,3,1,34,0
2449,68,51,1,1,0,21,0,5,2,51,1
2450,45,25,0,1,0,25,1,0,0,21,0
2451,164,67,1,2,1,6,0,20,2,67,1
2452,122,162,3,1,0,35,2,0,0,162,3
2453,79,43,0,1,0,43,3,0,0,35,0
2454,91,87,1,1,0,51,3,0,0,87,1
2455,19,31,0,0,0,16,0,0,0,31,0
2456,30,62,1,1,0,18,0,0,0,62,1
2457,65,40,0,1,0,40,2,1,0,35,0
2458,123,33,0,1,0,30,1,1,0,33,0
2459,123,30,0,1,0,30,1,0,0,11,0
2460,64,32,0,0,0,32,2,0,0,23,0
2461,79,60,1,1,0,33,2,0,0,60,1
2462,45,67,1,1,0,38,2,1,0,67,1
2463,64,40,0,1,0,40,2,0,0,14,0
2464,122,150,3,2,1,53,3,1,0,150,3
2465,0,45,0,1,0,34,2,0,0,45,0
2466,100,40,0,1,0,40,2,0,0,33,0
2467,77,109,2,1,0,42,3,0,0,109,2
2468,123,37,0,0,0,32,2,0,0,37,0
2469,12,202,4,1,0,88,3,1,0,202,4
2470,122,160,3,1,0,42,3,1,0,160,3
2471,129,32,0,1,0,29,1,3,1,32,0
2472,52,58,1,0,0,23,1,0,0,58,1
2473,122,500,5,1,0,41,3,0,0,372,5
2474,33,42,0,0,0,35,2,0,0,42,0
2475,123,37,0,1,0,30,1,0,0,37,0
2476,123,31,0,1,0,31,1,0,0,17,0
2477,122,55,1,0,0,28,1,0,0,55,1
2478,91,151,3,1,0,69,3,1,0,151,3
2479,105,40,0,0,0,23,1,0,0,40,0
2480,129,41,0,1,0,27,1,5,2,41,0
2481,114,45,0,1,0,33,2,0,0,45,0
2482,123,66,1,1,0,35,2,0,0,66,1
2484,45,65,1,1,0,32,2,1,0,65,1
2485,45,61,1,1,0,34,2,0,0,61,1
2486,164,89,1,3,1,3,0,15,2,89,1
2487,164,89,1,1,0,9,0,14,2,89,1
2488,146,36,0,1,0,16,0,0,0,36,0
2489,65,40,0,1,0,40,2,1,0,35,0
2490,87,50,0,1,0,32,2,1,0,50,0
2491,133,33,0,1,0,33,2,2,1,33,0
2492,123,52,1,1,0,52,3,2,1,15,0
2493,122,156,3,1,0,44,3,0,0,156,3
2494,164,54,1,1,0,30,1,11,2,54,1
2495,39,48,0,1,0,31,1,0,0,48,0
2496,125,34,0,1,0,34,2,0,0,30,0
2497,122,156,3,1,0,41,3,0,0,156,3
2498,125,62,1,2,1,47,3,1,0,62,1
2499,125,142,2,4,1,142,3,4,1,104,2
2500,122,192,3,1,0,39,2,0,0,192,3
2501,155,29,0,1,0,29,1,1,0,25,0
2502,122,500,5,0,0,34,2,0,0,378,5
2503,164,46,0,1,0,21,0,3,1,46,0
2504,90,30,0,1,0,15,0,0,0,30,0
2505,18,64,1,2,1,31,1,0,0,64,1
2506,46,73,1,2,1,12,0,6,2,73,1
2508,123,24,0,1,0,24,1,0,0,17,0
2509,65,72,1,1,0,41,3,0,0,72,1
2510,125,98,1,3,1,98,3,1,0,87,1
2511,40,58,1,1,0,22,1,0,0,58,1
2512,64,40,0,1,0,39,2,3,1,40,0
2513,123,35,0,1,0,35,2,0,0,21,0
2514,122,111,2,0,0,23,1,0,0,111,2
2515,71,54,1,1,0,10,0,3,1,54,1
2516,71,37,0,1,0,4,0,2,1,37,0
2517,26,28,0,1,0,1,0,0,0,28,0
2518,68,62,1,0,0,34,2,0,0,62,1
2519,133,31,0,0,0,29,1,1,0,31,0
2520,71,28,0,1,0,4,0,2,1,28,0
2521,71,50,0,1,0,13,0,4,1,50,0
2522,71,50,0,1,0,15,0,3,1,50,0
2523,143,38,0,1,0,38,2,0,0,23,0
2524,123,50,0,1,0,27,1,5,2,50,0
2525,37,51,1,1,0,20,0,5,2,51,1
2526,68,67,1,0,0,35,2,1,0,67,1
2527,46,66,1,2,1,6,0,4,1,66,1
2528,64,44,0,1,0,39,2,3,1,44,0
2529,122,154,3,2,1,90,3,1,0,154,3
2530,67,30,0,1,0,29,1,1,0,30,0
2531,122,376,5,1,0,68,3,1,0,296,4
2532,133,31,0,1,0,31,1,1,0,31,0
2533,108,47,0,1,0,47,3,1,0,34,0
2534,108,42,0,1,0,42,3,2,1,32,0
2535,126,193,3,2,1,73,3,1,0,193,3
2536,133,38,0,1,0,38,2,1,0,28,0
2537,154,46,0,0,0,34,2,1,0,46,0
2538,26,36,0,1,0,1,0,1,0,36,0
2539,90,100,2,1,0,17,0,0,0,100,2
2540,46,59,1,1,0,5,0,6,2,59,1
2541,46,93,1,4,1,7,0,10,2,93,1
2542,46,158,3,3,1,2,0,11,2,158,3
2543,12,295,4,1,0,55,3,1,0,295,4
2544,71,34,0,1,0,5,0,0,0,34,0
2545,164,45,0,1,0,30,1,8,2,45,0
2546,125,73,1,1,0,49,3,0,0,73,1
2547,64,32,0,1,0,32,2,0,0,12,0
2548,105,54,1,0,0,28,1,0,0,54,1
2549,122,69,1,2,1,47,3,1,0,69,1
2550,122,168,3,0,0,34,2,0,0,168,3
2551,45,153,3,2,1,58,3,2,1,153,3
2552,0,39,0,1,0,30,1,1,0,39,0
2553,65,90,1,1,0,49,3,0,0,90,1
2554,122,169,3,1,0,86,3,0,0,169,3
2555,6,57,1,1,0,37,2,1,0,57,1
2556,3,37,0,1,0,37,2,0,0,20,0
2557,122,260,4,1,0,47,3,0,0,239,4
2558,119,64,1,0,0,38,2,0,0,64,1
2559,79,55,1,1,0,43,3,0,0,55,1
2560,163,52,1,1,0,39,2,0,0,52,1
2561,68,31,0,0,0,27,1,2,1,31,0
2562,64,37,0,1,0,37,2,3,1,29,0
2563,123,27,0,1,0,27,1,0,0,18,0
2564,122,154,3,2,1,83,3,1,0,154,3
2565,155,32,0,0,0,32,2,1,0,21,0
2566,155,32,0,0,0,32,2,0,0,23,0
2567,48,54,1,2,1,28,1,0,0,54,1
2568,164,39,0,1,0,39,2,1,0,29,0
2569,164,76,1,2,1,5,0,14,2,76,1
2570,68,67,1,0,0,33,2,0,0,67,1
2571,164,123,2,3,1,20,0,11,2,123,2
2572,122,176,3,3,1,89,3,3,1,176,3
2573,68,55,1,0,0,32,2,1,0,55,1
2574,143,69,1,1,0,33,2,2,1,69,1
2575,164,61,1,2,1,24,1,5,2,61,1
2576,133,33,0,1,0,33,2,2,1,31,0
2577,133,34,0,1,0,29,1,2,1,34,0
2578,133,33,0,1,0,32,2,2,1,33,0
2579,164,68,1,3,1,2,0,12,2,68,1
2580,133,38,0,0,0,38,2,0,0,20,0
2581,154,43,0,0,0,34,2,1,0,43,0
2582,12,276,4,2,1,140,3,1,0,276,4
2583,65,39,0,1,0,39,2,0,0,37,0
2584,23,58,1,1,0,9,0,7,2,58,1
2585,108,45,0,1,0,45,3,2,1,16,0
2586,42,100,2,1,0,21,0,2,1,100,2
2587,1,20,0,0,0,9,0,0,0,20,0
2588,108,28,0,1,0,28,1,2,1,19,0
2589,46,158,3,3,1,4,0,10,2,158,3
2590,164,42,0,1,0,42,3,2,1,30,0
2591,122,77,1,0,0,23,1,0,0,77,1
2592,125,167,3,3,1,167,3,1,0,119,2
2594,111,37,0,1,0,33,2,2,1,37,0
2595,18,101,2,4,1,21,0,3,1,101,2
2596,122,155,3,1,0,41,3,0,0,155,3
2597,110,37,0,1,0,33,2,5,2,37,0
2598,87,47,0,1,0,31,1,1,0,47,0
2599,122,164,3,1,0,45,3,0,0,164,3
2601,133,34,0,1,0,34,2,2,1,27,0
2602,133,32,0,0,0,32,2,1,0,26,0
2603,133,34,0,1,0,29,1,2,1,34,0
2604,133,33,0,1,0,31,1,4,1,33,0
2605,13,51,1,1,0,22,1,0,0,51,1
2606,39,15,0,1,0,14,0,0,0,15,0
2607,133,34,0,1,0,34,2,2,1,25,0
2608,133,33,0,0,0,33,2,1,0,28,0
2609,108,67,1,1,0,40,2,1,0,67,1
2610,71,119,2,4,1,0,0,8,2,119,2
2611,12,171,3,1,0,43,3,0,0,171,3
2612,26,45,0,1,0,18,0,2,1,45,0
2613,2,53,1,1,0,26,1,0,0,53,1
2614,123,39,0,1,0,39,2,0,0,27,0
2615,26,34,0,1,0,2,0,0,0,34,0
2616,156,86,1,1,0,22,1,1,0,86,1
2617,168,28,0,1,0,8,0,1,0,28,0
2618,96,49,0,1,0,46,3,2,1,49,0
2619,71,34,0,1,0,5,0,2,1,34,0
2620,122,154,3,0,0,31,1,0,0,154,3
2621,122,155,3,1,0,39,2,0,0,155,3
2622,76,29,0,1,0,28,1,1,0,29,0
2623,96,45,0,1,0,45,3,0,0,35,0
2624,122,84,1,1,0,24,1,0,0,84,1
2625,164,61,1,1,0,29,1,3,1,61,1
2626,125,191,3,4,1,191,3,5,2,121,2
2627,91,94,1,1,0,51,3,0,0,94,1
2628,108,48,0,1,0,46,3,2,1,48,0
2629,164,110,2,4,1,5,0,36,2,110,2
2630,164,42,0,1,0,39,2,6,2,42,0
2631,111,36,0,1,0,36,2,3,1,19,0
2632,125,20,0,0,0,20,0,0,0,11,0
2633,129,52,1,1,0,35,2,2,1,52,1
2635,91,117,2,1,0,47,3,0,0,117,2
2636,122,61,1,1,0,34,2,0,0,61,1
2637,122,153,3,4,1,153,3,1,0,152,3
2638,122,241,4,1,0,32,2,0,0,241,4
2639,67,74,1,1,0,40,2,3,1,74,1
2640,110,46,0,1,0,15,0,6,2,46,0
2642,164,56,1,2,1,32,2,10,2,56,1
2643,122,138,2,3,1,92,3,1,0,138,2
2644,0,56,1,1,0,37,2,1,0,56,1
2645,123,71,1,1,0,45,3,1,0,71,1
2646,164,53,1,1,0,32,2,5,2,53,1
2647,71,33,0,0,0,10,0,3,1,33,0
2648,68,29,0,1,0,29,1,4,1,25,0
2649,164,37,0,1,0,32,2,8,2,37,0
2650,164,65,1,2,1,28,1,14,2,65,1
2651,133,49,0,1,0,36,2,2,1,49,0
2652,164,50,0,2,1,29,1,4,1,50,0
2653,84,66,1,1,0,28,1,6,2,66,1
2654,164,78,1,3,1,11,0,27,2,78,1
2655,164,27,0,1,0,23,1,5,2,27,0
2656,122,162,3,2,1,72,3,0,0,162,3
2657,123,40,0,1,0,36,2,0,0,40,0
2658,110,63,1,2,1,29,1,6,2,63,1
2659,155,23,0,0,0,23,1,0,0,8,0
2660,83,75,1,1,0,26,1,2,1,75,1
2661,90,52,1,1,0,19,0,0,0,52,1
2662,12,161,3,3,1,160,3,1,0,161,3
2663,122,99,1,1,0,38,2,0,0,99,1
2664,133,63,1,1,0,31,1,3,1,63,1
2665,37,69,1,2,1,27,1,6,2,69,1
2666,5,181,3,4,1,181,3,1,0,145,2
2667,129,29,0,1,0,24,1,6,2,29,0
2668,37,51,1,1,0,32,2,3,1,51,1
2669,164,67,1,2,1,20,0,17,2,67,1
2670,15,68,1,2,1,21,0,1,0,68,1
2671,91,50,0,1,0,46,3,0,0,50,0
2672,105,61,1,1,0,23,1,0,0,61,1
2673,122,93,1,3,1,58,3,2,1,93,1
2674,12,166,3,3,1,166,3,1,0,153,3
2675,164,58,1,1,0,31,1,3,1,58,1
2676,133,60,1,1,0,30,1,6,2,60,1
2677,133,69,1,1,0,37,2,3,1,69,1
2678,68,33,0,1,0,33,2,4,1,24,0
2679,129,52,1,1,0,35,2,4,1,52,1
2680,122,157,3,1,0,37,2,0,0,157,3
2681,122,154,3,3,1,100,3,2,1,154,3
2682,164,43,0,1,0,26,1,5,2,43,0
2683,124,117,2,3,1,33,2,1,0,117,2
2684,164,60,1,2,1,28,1,6,2,60,1
2685,102,67,1,1,0,32,2,0,0,67,1
2686,67,82,1,1,0,35,2,1,0,82,1
2687,125,154,3,3,1,54,3,8,2,154,3
2688,164,74,1,2,1,11,0,27,2,74,1
2689,48,68,1,2,1,20,0,0,0,68,1
2690,18,60,1,1,0,21,0,1,0,60,1
2691,19,18,0,0,0,16,0,0,0,18,0
2692,71,31,0,1,0,5,0,0,0,31,0
2693,166,22,0,0,0,22,1,0,0,14,0
2694,26,20,0,1,0,20,0,1,0,17,0
2695,133,62,1,1,0,26,1,4,1,62,1
2696,64,38,0,2,1,38,2,5,2,36,0
2697,93,54,1,1,0,32,2,1,0,54,1
2698,168,18,0,0,0,8,0,0,0,18,0
2699,71,38,0,1,0,8,0,2,1,38,0
2700,69,76,1,1,0,76,3,0,0,53,1
2701,65,59,1,1,0,33,2,1,0,59,1
2702,71,97,1,2,1,4,0,7,2,97,1
2703,71,22,0,1,0,8,0,1,0,22,0
2704,71,34,0,0,0,20,0,2,1,34,0
2705,64,46,0,1,0,46,3,1,0,45,0
2706,71,31,0,1,0,7,0,1,0,31,0
2707,71,23,0,1,0,5,0,1,0,23,0
2708,65,55,1,1,0,38,2,0,0,55,1
2709,128,128,2,2,1,14,0,5,2,128,2
2710,71,22,0,0,0,22,1,0,0,9,0
2711,12,183,3,2,1,135,3,1,0,183,3
2712,126,68,1,2,1,43,3,1,0,68,1
2713,113,33,0,0,0,26,1,0,0,33,0
2714,71,55,1,1,0,8,0,2,1,55,1
2715,122,176,3,1,0,38,2,0,0,176,3
2716,46,61,1,1,0,17,0,3,1,61,1
2717,71,23,0,0,0,20,0,0,0,23,0
2718,124,56,1,2,1,26,1,0,0,56,1
2719,122,171,3,4,1,171,3,1,0,170,3
2720,122,154,3,1,0,33,2,0,0,154,3
2721,124,57,1,1,0,21,0,0,0,57,1
2723,45,113,2,3,1,100,3,2,1,113,2
2724,40,20,0,0,0,20,0,0,0,9,0
2725,123,34,0,1,0,32,2,0,0,34,0
2726,64,50,0,1,0,27,1,5,2,50,0
2727,64,45,0,1,0,45,3,1,0,40,0
2728,110,62,1,2,1,30,1,1,0,62,1
2729,164,61,1,1,0,21,0,7,2,61,1
2730,164,77,1,2,1,18,0,17,2,77,1
2731,46,57,1,1,0,24,1,0,0,57,1
2732,123,36,0,1,0,36,2,0,0,32,0
2734,56,168,3,1,0,48,3,0,0,168,3
